iteration,direction,target,n_start_cells,n_shared_native_start_reference_cells,experiment,source,readout
1,prediction_to_A,STAT1,32,4,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_A,STAT2,32,3,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_A,TCF4,32,0,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_A,ZNF148,32,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_A,ZNF532,30,0,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_A,ZNF644,32,0,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,ARID2,32,2,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,ARID5B,32,4,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,BHLHE40,32,0,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,BHLHE41,18,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,BPTF,32,3,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,CNOT10,32,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,DEAF1,32,3,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,DNMT1,32,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,IRF9,32,2,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,MAF,32,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,MEF2C,32,2,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,MITF,18,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,PRDM1,32,3,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,RELA,32,2,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,RUNX1,32,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,SMAD3,21,0,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,SPI1,24,0,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,SREBF1,32,3,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,STAT1,32,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,STAT2,32,1,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,TCF4,32,0,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,ZNF148,32,2,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,ZNF532,30,4,cite_6tf,GSE335887,GF_V1_6L
1,prediction_to_B,ZNF644,32,3,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,ARID2,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,ARID5B,32,3,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,BHLHE40,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,BHLHE41,18,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,BPTF,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,CNOT10,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,DEAF1,32,0,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,DNMT1,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,IRF9,32,0,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,MAF,32,0,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,MEF2C,32,3,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,MITF,18,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,PRDM1,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,RELA,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,RUNX1,32,0,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,SMAD3,21,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,SPI1,24,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,SREBF1,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,STAT1,32,0,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,STAT2,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,TCF4,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,ZNF148,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,ZNF532,30,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_A,ZNF644,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,ARID2,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,ARID5B,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,BHLHE40,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,BHLHE41,18,4,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,BPTF,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,CNOT10,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,DEAF1,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,DNMT1,32,3,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,IRF9,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,MAF,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,MEF2C,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,MITF,18,0,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,PRDM1,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,RELA,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,RUNX1,32,3,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,SMAD3,21,0,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,SPI1,24,3,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,SREBF1,32,0,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,STAT1,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,STAT2,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,TCF4,32,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,ZNF148,32,1,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,ZNF532,30,2,cite_6tf,GSE335887,GF_V1_6L
2,prediction_to_B,ZNF644,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,ARID2,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,ARID5B,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,BHLHE40,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,BHLHE41,18,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,BPTF,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,CNOT10,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,DEAF1,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,DNMT1,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,IRF9,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,MAF,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,MEF2C,32,4,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,MITF,18,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,PRDM1,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,RELA,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,RUNX1,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,SMAD3,21,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,SPI1,24,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,SREBF1,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,STAT1,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,STAT2,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,TCF4,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,ZNF148,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,ZNF532,30,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_A,ZNF644,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,ARID2,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,ARID5B,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,BHLHE40,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,BHLHE41,18,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,BPTF,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,CNOT10,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,DEAF1,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,DNMT1,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,IRF9,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,MAF,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,MEF2C,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,MITF,18,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,PRDM1,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,RELA,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,RUNX1,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,SMAD3,21,0,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,SPI1,24,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,SREBF1,32,3,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,STAT1,32,2,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,STAT2,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,TCF4,32,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,ZNF148,32,0,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,ZNF532,30,1,cite_6tf,GSE335887,GF_V1_6L
3,prediction_to_B,ZNF644,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,ARID2,32,4,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,ARID5B,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,BHLHE40,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,BHLHE41,18,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,BPTF,32,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,CNOT10,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,DEAF1,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,DNMT1,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,IRF9,32,3,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,MAF,32,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,MEF2C,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,MITF,18,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,PRDM1,32,3,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,RELA,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,RUNX1,32,3,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,SMAD3,21,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,SPI1,24,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,SREBF1,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,STAT1,32,3,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,STAT2,32,3,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,TCF4,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,ZNF148,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,ZNF532,30,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_A,ZNF644,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,ARID2,32,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,ARID5B,32,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,BHLHE40,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,BHLHE41,18,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,BPTF,32,3,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,CNOT10,32,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,DEAF1,32,3,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,DNMT1,32,3,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,IRF9,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,MAF,32,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,MEF2C,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,MITF,18,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,PRDM1,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,RELA,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,RUNX1,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,SMAD3,21,0,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,SPI1,24,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,SREBF1,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,STAT1,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,STAT2,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,TCF4,32,2,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,ZNF148,32,1,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,ZNF532,30,5,cite_6tf,GSE335887,GF_V1_6L
4,prediction_to_B,ZNF644,32,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,ARID2,32,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,ARID5B,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,BHLHE40,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,BHLHE41,18,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,BPTF,32,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,CNOT10,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,DEAF1,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,DNMT1,32,3,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,IRF9,32,0,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,MAF,32,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,MEF2C,32,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,MITF,18,2,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,PRDM1,32,1,cite_6tf,GSE335887,GF_V1_6L
5,prediction_to_A,RELA,32,1,cite_6tf,GSE335887,GF_V1_6L
